timestamp,maid_apple_idfa_or_google_aaid,app_context,event_type,partner_chain_exposure,location_permission_granted,app_tracking_transparency_opt_in,source_feed
2026-04-28T17:48:05Z,47920BF4-EF53-4CB9-95EB-DC94AF09879E,Budgeting Tool,location_ping,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,True,False,Synthetic (Real Rails Demo)
2026-04-28T15:18:05Z,297660AC-C129-4864-9BB9-3B882CCADD44,FitnessTracker Plus,location_ping,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,True,True,Synthetic (Real Rails Demo)
2026-04-28T14:45:05Z,A35BA837-A793-48FF-9BCA-30CFDAD478C9,WeatherApp Pro,ad_bid_request,App -> Internal Analytics,True,False,Synthetic (Real Rails Demo)
2026-04-28T14:40:05Z,E29A3EC2-2CEA-4650-8893-982DEBDD0A5A,Daily News Aggregator,ad_bid_request,App -> AdNetwork_A -> DSP_X -> DataBroker_Alpha,True,True,Synthetic (Real Rails Demo)
2026-04-28T13:16:05Z,FDD6D429-679B-415D-8871-CF060968BE77,Budgeting Tool,ad_bid_request,App -> Internal Analytics,True,False,Synthetic (Real Rails Demo)
2026-04-28T12:55:05Z,FDD6D429-679B-415D-8871-CF060968BE77,FitnessTracker Plus,ad_click,App -> AdNetwork_B -> SSP_Y,False,True,Synthetic (Real Rails Demo)
2026-04-28T12:17:05Z,8BDF3701-01B4-49EF-85FC-EA45B621830B,Casual Puzzle Game,background_sync,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,False,False,Synthetic (Real Rails Demo)
2026-04-28T07:38:05Z,488DE9D2-55A7-4D46-A0B3-A15BA89613F6,Daily News Aggregator,background_sync,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,True,True,Synthetic (Real Rails Demo)
2026-04-28T06:46:05Z,E29A3EC2-2CEA-4650-8893-982DEBDD0A5A,Casual Puzzle Game,ad_bid_request,App -> Internal Analytics,True,False,Synthetic (Real Rails Demo)
2026-04-28T06:19:05Z,F4EB6C1A-D199-4D43-910B-D6254424BF09,Daily News Aggregator,ad_bid_request,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,True,False,Synthetic (Real Rails Demo)
2026-04-28T06:18:05Z,A35BA837-A793-48FF-9BCA-30CFDAD478C9,WeatherApp Pro,ad_click,App -> Location_Monetizer -> HedgeFund_Data,True,False,Synthetic (Real Rails Demo)
2026-04-28T05:51:05Z,830B4932-434C-48C8-A65A-6F3877002222,WeatherApp Pro,ad_click,App -> AdNetwork_B -> SSP_Y,True,False,Synthetic (Real Rails Demo)
2026-04-28T03:43:05Z,488DE9D2-55A7-4D46-A0B3-A15BA89613F6,Budgeting Tool,ad_bid_request,App -> AdNetwork_A -> DSP_X -> DataBroker_Alpha,True,True,Synthetic (Real Rails Demo)
2026-04-28T01:10:05Z,051200F1-C1EF-440F-8B26-6333EE388742,Daily News Aggregator,location_ping,App -> AdNetwork_A -> DSP_X -> DataBroker_Alpha,False,True,Synthetic (Real Rails Demo)
2026-04-28T01:04:05Z,47920BF4-EF53-4CB9-95EB-DC94AF09879E,Daily News Aggregator,location_ping,App -> Location_Monetizer -> HedgeFund_Data,True,True,Synthetic (Real Rails Demo)
2026-04-28T00:56:05Z,E29A3EC2-2CEA-4650-8893-982DEBDD0A5A,FitnessTracker Plus,ad_click,App -> Location_Monetizer -> HedgeFund_Data,False,False,Synthetic (Real Rails Demo)
2026-04-27T23:17:05Z,F4EB6C1A-D199-4D43-910B-D6254424BF09,Budgeting Tool,background_sync,App -> Internal Analytics,False,True,Synthetic (Real Rails Demo)
2026-04-27T23:05:05Z,BFC84A68-E949-4D0E-879F-747F49A38B9D,Casual Puzzle Game,location_ping,App -> Location_Monetizer -> HedgeFund_Data,True,False,Synthetic (Real Rails Demo)
2026-04-27T23:03:05Z,A35BA837-A793-48FF-9BCA-30CFDAD478C9,Casual Puzzle Game,ad_bid_request,App -> AdNetwork_A -> DSP_X -> DataBroker_Alpha,True,True,Synthetic (Real Rails Demo)
2026-04-27T22:47:05Z,A1678FE7-98D5-4641-878E-B613A823F403,WeatherApp Pro,ad_click,App -> Location_Monetizer -> HedgeFund_Data,True,False,Synthetic (Real Rails Demo)
2026-04-27T22:20:05Z,A35BA837-A793-48FF-9BCA-30CFDAD478C9,WeatherApp Pro,ad_click,App -> Location_Monetizer -> HedgeFund_Data,True,False,Synthetic (Real Rails Demo)
2026-04-27T21:50:05Z,9B117EFF-8EEB-4338-AC9A-7070150697C6,Casual Puzzle Game,ad_bid_request,App -> AdNetwork_B -> SSP_Y,False,True,Synthetic (Real Rails Demo)
2026-04-27T20:34:05Z,A1678FE7-98D5-4641-878E-B613A823F403,Casual Puzzle Game,location_ping,App -> Internal Analytics,True,True,Synthetic (Real Rails Demo)
2026-04-27T20:10:05Z,47920BF4-EF53-4CB9-95EB-DC94AF09879E,Budgeting Tool,ad_bid_request,App -> Location_Monetizer -> HedgeFund_Data,True,True,Synthetic (Real Rails Demo)
2026-04-27T19:35:05Z,3BD1CB73-4994-4D84-97D0-AD33B654EF63,Budgeting Tool,ad_bid_request,App -> AdNetwork_A -> DSP_X -> DataBroker_Alpha,True,False,Synthetic (Real Rails Demo)
2026-04-27T11:02:05Z,2E6DE9C8-4D1D-42B2-B336-7C3CC2B61824,Daily News Aggregator,app_open,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,True,False,Synthetic (Real Rails Demo)
2026-04-27T09:45:05Z,2D884BB9-1526-4DF5-93A3-97322E67EE09,Daily News Aggregator,background_sync,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,False,False,Synthetic (Real Rails Demo)
2026-04-27T09:19:05Z,0BFA7490-BDEA-48E0-AA71-99DD83C3DC69,WeatherApp Pro,ad_click,App -> AdNetwork_A -> DSP_Z -> DataBroker_Beta,False,True,Synthetic (Real Rails Demo)
2026-04-27T07:48:05Z,1CCE7E01-0222-43FD-9886-791E8486B89F,WeatherApp Pro,ad_click,App -> Location_Monetizer -> HedgeFund_Data,False,False,Synthetic (Real Rails Demo)
2026-04-27T06:51:05Z,47920BF4-EF53-4CB9-95EB-DC94AF09879E,WeatherApp Pro,location_ping,App -> Internal Analytics,True,False,Synthetic (Real Rails Demo)
2026-04-27T06:18:05Z,47920BF4-EF53-4CB9-95EB-DC94AF09879E,WeatherApp Pro,app_open,App -> Internal Analytics,True,True,Synthetic (Real Rails Demo)
2026-04-27T05:48:05Z,01B65361-6D8A-4895-93B6-7336D9CA1232,Budgeting Tool,background_sync,App -> AdNetwork_B -> SSP_Y,True,False,Synthetic (Real Rails Demo)
2026-04-26T23:38:05Z,2D884BB9-1526-4DF5-93A3-97322E67EE09,WeatherApp Pro,background_sync,App -> AdNetwork_B -> SSP_Y,False,True,Synthetic (Real Rails Demo)
2026-04-26T22:46:05Z,BFC84A68-E949-4D0E-879F-747F49A38B9D,WeatherApp Pro,ad_click,App -> Internal Analytics,True,False,Synthetic (Real Rails Demo)
